animal,genotype,sex,age,T1,T2,T3,T4,T5,T1target,T2target,T3target,T4target,T5target,T6target,T7target
161107_1,APOE4,F,older,57.70725,57.486,67.59675,65.54825,58.846,0.329689943637931,0.225628848763177,0.145942667361966,0.035731985330558,0.16662534850282,0.202031573938755,0.226152438384111
161107_2,APOE4,F,older,21.2813333333333,39.2225,33.487,40.976,23.3515,0.245250140968611,0.243164000254956,0.287253262460059,0.419032346610035,0.196169709098009,0.478952101578057,0.493018611579447
161107_3,APOE4,F,older,58.82975,80.9195,59.772,20.9265,15.24825,0.292339335115312,0.091736231687047,0.247565749849428,0.288894522157952,0.461233364394428,0.63407276244815,0.589205744582282
161107_4,APOE4,M,older,59.3785,75.2985,50.62775,32.807,27.5465,0.227675000210514,0.402288890216937,0.39569702386537,0.462998256722458,0.507490779406834,0.615114442851179,0.482765801212148
161107_5,APOE4,M,older,61.2385,22.38475,31.414,13.00325,17.4275,0.270540591294692,0.431923519360279,0.398015216145668,0.34477360428362,0.293638128929306,0.491780232391336,0.515568991578493
161107_6,APOE4,M,older,81.86975,54.21675,53.586,45.26125,36.95275,0.181645235266994,0.277165267191412,0.336235210689359,0.432411079684611,0.226827584302245,0.334142925763306,0.423481118900848
161107_7,APOE4,M,older,42.7156666666667,36.658,48.3665,41.451,24.9165,0.207540949066307,0.104158710240602,0.240559064641849,0.232098976109215,0.36529275530144,0.482080147693296,0.367011003419742
161107_8,APOE4,M,older,68.92425,70.227,28.29225,39.82875,36.63325,0.225388741988487,0.340563458498868,0.344917777836687,0.442047047094122,0.387571791733358,0.402148321538493,0.431500204016865
170123_1,C57,F,older,106.64725,50.702,33.626,22.9175,14.87125,0.212584009432967,0.016320855193089,0.203451198477369,0.478588045812455,0.618162975891786,0.483752206438598,0.473665614279039
170123_10,APOE3,F,older,49.235,53.4875,33.348,13.167,16.854,0.250792119427237,0.47226922178079,0.33733657190836,0.375640664307561,0.493468519784309,0.475450931529607,0.325528653325214
170123_11,APOE3,F,older,64.1496666666667,63.5985,23.278,51.08675,29.75875,0.137557222952574,0.333290093319811,0.54944582867944,0.375970593094333,0.443627750835589,0.357936741294577,0.478002948120274
170123_12,APOE3,F,older,71.72625,47.8665,61.99225,27.39125,19.263,0.311287708474931,0.297671649274545,0.291306574612149,0.326143922596251,0.489070414822252,0.54742251985672,0.532625033723455
170123_2,C57,F,older,64.426,16.5835,14.52725,6.13966666666667,22.11425,0.207684009561357,0.313233032833841,0.336712041164019,0.542350225897575,0.280267658396221,0.32381835241982,0.43044347953359
170123_3,C57,F,older,80.9115,97.8526666666667,13.63425,7.407,19.68925,0.143795999332604,0.260744043766479,0.439298091204137,0.643997248837871,0.277676522208721,0.394085605089071,0
170123_4,APOE4,M,older,40.4515,36.502,28.88225,22.5895,13.2325,0.2487361408106,0.244671524847954,0.119718858468436,0.077749619868221,0.37723278514354,0.167183071981863,NaN
170123_5,APOE4,M,older,28.39875,33.4516666666667,33.954,34.14225,8.16075,0.213222412958317,0.254733197150117,0.364375331330624,0.533895036985965,0.248621575906685,0.516098397818828,0.733730327520204
170123_6,APOE4,F,older,38.641,62.34475,38.0835,21.2625,28.538,0.263787169069123,0.286764322577282,0.36918875628553,0.502738624467068,0.294027042915932,0.483486929707758,0.387792155836962
