animal,genotype,sex,age,T1,T2,T3,T5,T6
170123_2,C57,F,400,64.426,16.5835,14.52725,6.139666667,22.11425
170123_1,C57,F,400,106.64725,50.702,33.626,22.9175,14.87125
170123_6,APOE4,F,396,38.641,62.34475,38.0835,21.2625,28.538
170123_7,APOE4,F,396,60.37825,50.3085,39.755,31.668,17.73075
170123_8,APOE4,F,396,36.50225,45.3185,23.786,25.76875,12.413
170123_9,APOE4,F,396,59.0425,53.3725,26.17825,36.77275,22.84375
170123_3,C57,F,400,80.9115,97.85266667,13.63425,7.407,19.68925
170123_4,APOE4,M,396,40.4515,36.502,28.88225,22.5895,13.2325
170123_5,APOE4,M,396,28.39875,33.45166667,33.954,34.14225,8.16075
170123_10,APOE3,F,388,49.235,53.4875,33.348,13.167,16.854
170123_11,APOE3,F,388,64.14966667,63.5985,23.278,51.08675,29.75875
170206_1,APOE3,F,394,50.13625,62.69675,72.20166667,13.921,10.98725
170206_3,APOE3,M,393,74.55325,31.324,30.29433333,28.66925,55.99475
170206_4,APOE3,M,393,54.692,28.96425,30.775,7.956,25.9
170206_5,APOE3,M,393,67.92425,27.1045,44.14666667,12.09375,5.1045
170206_6,APOE3,M,383,105.5085,64.18025,14.7645,67.6705,26.457
170206_8,APOE3,M,383,48.70266667,69.514,21.04925,37.256,34.65075
170206_11,C57,M,367,103.22225,63.96725,61.14025,20.16425,13.9865
170206_12,C57,M,367,100.0845,54.74125,12.61,19.4025,17.485
170313_1,C57,F,380,67.1705,33.184,16.36275,13.72425,3.933
170313_2,C57,F,380,67.867,21.1475,41.31175,40.1975,35.29775
170313_3,C57,M,380,65.376,43.8685,39.44375,41.2215,12.32325
170313_4,C57,M,380,83.12375,28.64475,44.43375,3.92475,2.9745
170313_5,C57,M,380,78.85475,32.2745,11.7825,7.12025,7.964
170313_7,C57,M,380,61.23875,25.94075,8.882,11.06125,4.53925
170227_1,C57,F,120,54.069,77.09325,26.154,31.889,12.29825
170227_2,C57,F,120,67.35925,63.80325,13.656,23.11425,12.5935
170227_3,C57,F,120,72.10325,67.94075,60.50925,52.48775,9.79125
170227_4,C57,F,120,48.21925,45.1055,58.1905,16.043,3.1545
170227_5,C57,F,120,27.2925,24.52325,24.1215,19.37775,17.60775
170227_6,C57,M,120,69.0555,54.2985,19.65625,38.018,47.801
170227_7,C57,M,120,19.43525,36.871,18.034,12.11825,13.41275
170227_8,C57,M,120,70.68333333,12.35575,68.76025,30.0865,29.62775
170227_9,C57,M,120,37.207,34.38025,18.73875,7.538,8.49675
170227_10,C57,M,120,97.9375,81.5255,15.29725,52.2995,6.93175
170501_3,C57,M,381,32.53675,48.0305,19.804,4.8015,10.1355
170501_4,C57,F,381,59.2885,64.50775,29.95575,6.57125,44.85125
170501_7,C57,F,381,104.33675,99.89575,53.37275,27.08775,2.7285
170501_8,C57,F,381,104.9755,51.18525,38.4115,27.784,11.6105
