animal,genotype,sex,age,T1_1,T1_4,T2_1,T2_4,T3_1,T3_4,T4_1,T4_4,T5_1,T5_4
161107_1,APOE4,F,older,44.442,65.024,101.338,23.597,84.099,60.173,78.756,52.668,69.645,28.612
161107_2,APOE4,F,older,12.126,38.739,25.203,24.81,85.639,10.914,66.663,18.452,17.698,35.101
161107_3,APOE4,F,older,18.714,47.162,91.637,71.448,24.482,76.102,49.653,4.687,16.223,17.829
161107_4,APOE4,M,older,92.751,20.746,35.199,50.374,51.947,101.567,54.274,23.663,7.046,14.224
161107_5,APOE4,M,older,96.192,16.715,52.537,17.993,13.732,65.745,13.372,0.131,21.139,11.569
161107_6,APOE4,M,older,94.652,56.404,90.26,6.424,45.917,26.613,44.802,13.569,81.804,25.236
161107_7,APOE4,M,older,6.03,56.962,NaN,14.191,63.09,73.218,13.863,10.979,73.25,11.963
161107_8,APOE4,M,older,131.162,100.191,46.048,6.85,59.485,33.266,33.725,75.708,20.549,15.043
170123_1,C57,F,older,120.281,106.418,NaN,NaN,55.814,27.858,11.799,27.53,19.959,9.767
170123_10,APOE3,F,older,43.524,92.161,77.15,56.962,16.453,8.915,14.814,10.717,16.911,15.895
170123_11,APOE3,F,older,94.127,NaN,113.628,8.161,10.783,20.975,85.246,9.767,20.549,94.75
170123_12,APOE3,F,older,116.053,64.598,52.701,19.107,106.909,17.141,67.417,15.994,40.116,9.406
170123_2,C57,F,older,105.861,39.395,26.645,3.441,4.851,13.667,7.309,3.769,45.261,6.489
170123_3,C57,F,older,89.474,84.197,112.612,57.355,40.935,6.358,11.963,5.899,28.219,16.092
170123_4,APOE4,M,older,34.282,25.072,6.489,26.35,12.618,3.048,59.583,17.272,12.749,8.456
170123_5,APOE4,M,older,57.551,30.054,51.587,23.794,16.223,22.024,9.439,28.841,8.882,5.539
170123_6,APOE4,F,older,54.471,30.152,63.779,67.908,52.209,40.607,10.226,20.681,13.929,55.454
170123_7,APOE4,F,older,83.279,62.959,71.186,46.933,NaN,21.565,31.66,60.567,17.862,7.767
170123_8,APOE4,F,older,85.934,1.737,82.558,26.187,55.946,16.813,10.586,16.289,21.991,14.585
170123_9,APOE4,F,older,41.361,86.753,96.782,57.715,40.607,0.557,104.025,16.387,45.327,24.745
170206_1,APOE3,F,older,52.668,31.627,93.734,40.607,97.405,NaN,12.323,20.386,8.259,10.553
170206_10,C57,M,older,116.774,100.322,119.003,39.624,124.378,0.557,50.997,31.168,82.657,29.923
170206_11,C57,M,older,100.027,105.762,107.27,0,109.138,25.367,8.98,66.335,0,7.899
