animal,genotype,sex,age,T1,T2,T3,T4,T5,T1target,T2target,T3target,T4target,T5target,T6target,T7target
170123_1,C57,F,older,60,35.7,20.975,18.775,16.55,0.230833333333333,0.0266106442577031,0.33253873659118,0.515,0.687083888149134,0.652567975830816,0.596666666666667
170123_10,APOE3,F,older,31.35,31.575,21.5,9.475,13.45,0.304625199362041,0.542359461599367,0.473255813953488,0.363333333333333,0.683377308707124,0.607806691449814,0.38
170123_11,APOE3,F,older,38.4,36.725,16.15,31.25,36.15,0.161458333333333,0.37644656228727,0.634674922600619,0.368333333333333,0.5048,0.690871369294606,0.538333333333333
170123_2,C57,F,older,41.425,12.3,12.45,5.175,16.6,0.235968617984309,0.404471544715447,0.580321285140562,0.585,0.772946859903382,0.465361445783133,0.473333333333333
170123_3,C57,F,older,53.4,48.875,11.2,6.05,18.125,0.14185393258427,0.317135549872123,0.658482142857143,0.735,0.756198347107438,0.537931034482759,0.88
170123_4,APOE4,M,older,47,33.3,36.125,30.225,17.5,0.270744680851064,0.274024024024024,0.163321799307958,0.0533333333333333,0.478908188585608,0.284285714285714,NaN
170123_5,APOE4,M,older,38.525,39.525,26.225,25.45,8.425,0.27514600908501,0.268184693232132,0.474737845567207,0.571666666666667,0.341846758349705,0.706231454005935,0.716666666666667
170123_6,APOE4,F,older,60,60,42.85,29.9,32,0.335416666666667,0.259583333333333,0.383313885647608,0.49,0.303511705685619,0.53671875,0.376666666666667
170123_7,APOE4,F,older,53.35,47.5,37.025,35.925,23,0.149953139643861,0.115263157894737,0.221471978392978,0.635,0.502435629784273,0.630434782608696,0.683333333333333
170123_8,APOE4,F,older,45.725,37.225,22,26.5,11.425,0.613996719518863,0.392209536601746,0.543181818181818,0.751666666666667,0.721698113207547,0.673960612691466,0
170123_9,APOE4,F,older,39.725,34.175,15.975,23.825,20.55,0.124606670862177,0.302852962692026,0.500782472613459,0.626666666666667,0.520461699895068,0.678832116788321,0.576666666666667
170206_1,APOE3,F,older,52.8,41.275,43.6,18.075,13.125,0.207859848484848,0.317989097516657,0.604357798165138,0.378333333333333,0.605809128630705,0.657142857142857,0.431666666666667
170206_11,C57,M,older,60,39.875,36.15,15.6,16.45,0.20125,0.355485893416928,0.545643153526971,0.543333333333333,0.637820512820513,0.712765957446809,0.44
170206_12,C57,M,older,60,31.45,11.1,18.175,13.075,0.259166666666667,0.406995230524642,0.740990990990991,0.408333333333333,0.628610729023384,0.565965583173996,0.353333333333333
170206_3,APOE3,M,older,46.45,17.55,14.45,19.125,33.325,0.344456404736276,0.55982905982906,0.399653979238754,0.366666666666667,0.520261437908497,0.453863465866467,0.535
170206_4,APOE3,M,older,40.625,24.9,23.4,9.36666666666667,17.45,0.387692307692308,0.469879518072289,0.508547008547009,0.508333333333333,0.563167259786477,0.570200573065903,0.358333333333333
170206_5,APOE3,M,older,45.175,18.675,22.9,9.575,7.875,0.240177089097952,0.646586345381526,0.25764192139738,0.603333333333333,0.637075718015666,0.704761904761905,0.513333333333333
170206_6,APOE3,M,older,60,36.475,14.15,46.225,21.45,0.217916666666667,0.496230294722413,0.789752650176679,0.345,0.210383991346674,0.405594405594406,0.188333333333333
170206_8,APOE3,M,older,37.7,36.525,13.35,25.2,22.225,0.602122015915119,0.344969199178645,0.689138576779026,0.595,0.318452380952381,0.44206974128234,0.545
170227_1,C57,F,younger,38.475,42.775,14.625,20.55,11.3,0.202729044834308,0.276446522501461,0.548717948717949,0.576666666666667,0.508515815085158,0.721238938053097,0.381666666666667
170227_10,C57,M,younger,60,55.725,15.925,38.775,11.625,0.210833333333333,0.317631224764468,0.373626373626374,0.505,0.479690522243714,0.903225806451613,0.598333333333333
170227_2,C57,F,younger,42.8,36.375,13.675,18.325,11,0.167056074766355,0.32852233676976,0.288848263254113,0.981666666666667,0.732605729877217,0.515909090909091,0.498333333333333
170227_3,C57,F,younger,40.625,40.125,41.8,28.7,9.75,0.270153846153846,0.446728971962617,0.389354066985646,0.61,0.549651567944251,0.741025641025641,0.556666666666667
170227_4,C57,F,younger,27.725,30.475,40.2,14.75,6.475,0.481514878268711,0.360951599671862,0.453358208955224,0.318333333333333,0.476271186440678,0.44015444015444,0.531666666666667
170227_5,C57,F,younger,20.1,19.975,17.275,14.175,12.525,0.400497512437811,0.230287859824781,0.428364688856729,0.435,0.507936507936508,0.51497005988024,0.401666666666667
170227_6,C57,M,younger,37.125,35.175,18.975,28.725,38.125,0.524579124579124,0.184790334044065,0.544137022397892,0.59,0.475195822454308,0.687213114754098,0.628333333333333
170227_7,C57,M,younger,24.525,27.725,17.075,16.175,18.875,0.530071355759429,0.575293056807935,0.613469985358711,0.545,0.823802163833076,0.588079470198675,0.581666666666667
170227_8,C57,M,younger,42.1666666666667,10.25,58.525,30.325,17.2,0.253754940711462,0.641463414634146,0.240068346860316,0.286666666666667,0.436933223413026,0.524709302325581,0.488333333333333
170227_9,C57,M,younger,29.275,22.975,15.4,10.9,11.55,0.250213492741247,0.563656147986942,0.650974025974026,0,0.747706422018349,0.569264069264069,0.428333333333333
170313_1,C57,F,older,53.075,41.025,20.725,13.575,5.575,0.369288742345737,0.546617915904936,0.591073582629674,0.493333333333333,0.602209944751381,0.919282511210762,0.646666666666667
170313_2,C57,F,older,60,21.35,28.225,25.3,24.9,0.190416666666667,0.638173302107728,0.239149689991143,0.29,0.433794466403162,0.3785140562249,0.445
170313_3,C57,M,older,60,48.625,41,47.925,15.075,0.165833333333333,0.353213367609255,0.267073170731707,0.0316666666666667,0.238393322900365,0.658374792703151,0.473333333333333
170313_4,C57,M,older,51.25,21.15,34.1,5.675,4.875,0.20390243902439,0.502364066193853,0.613636363636364,0.56,0.806167400881057,0.856410256410256,0.54
170313_5,C57,M,older,49.775,20.8,10.5,8.125,11.75,0.243093922651934,0.394230769230769,0.771428571428572,0.445,0.790769230769231,0.836170212765957,0.528333333333333
170313_7,C57,M,older,52.05,17.875,8.75,10.725,6.125,0.181556195965418,0.447552447552448,0.742857142857143,0.395,0.706293706293706,0.881632653061224,0.548333333333333
170501_3,C57,M,older,24.1,37.3,21.25,9.425,12.75,0.411825726141079,0.422252010723861,0.529411764705882,0.323333333333333,0.591511936339522,0.62156862745098,0.281666666666667
170501_4,C57,F,older,32.95,34,19.675,7.3,27.225,0.355842185128983,0.304411764705882,0.420584498094028,0.34,0.61986301369863,0.483930211202938,0.01
170501_7,C57,F,older,57.2,56.575,35.7,23.025,8.15,0.204982517482517,0.183826778612461,0.321428571428571,0.448333333333333,0.41585233441911,0.386503067484663,0.673333333333333
170501_8,C57,F,older,59.2,36.2,36.7,23.3,14,0.206081081081081,0.222375690607735,0.493869209809264,0.483333333333333,0.578326180257511,0.728571428571429,0.453333333333333
