comparison,behav_var,image_var,rho,p
MWMdist_amygdalaL,swimdist_t2,strength_weight,0.365384615384615,0.0221776273540116
MWMdist_amygdalaL,swimdist_t6,clustercoeff_bin,-0.347165991902834,0.0303599411658154
MWMdist_amygdalaL,swimdist_t6,localeff_bin,-0.347165991902834,0.0303599411658154
MWMdist_amygdalaL,swimdist_t2,localeff_weight,0.331174089068826,0.0394549663746821
MWMdist_amygdalaL,swimdist_t1,betweencent_weight,-0.473172716724372,0.00234855642444225
MWMdist_amygdalaL,swimdist_t6,eigenvectorcent_bin,0.365789473684211,0.0220191342247402
MWMdist_amygdalaL,swimdist_t6,pagerankcent_bin,0.343724696356275,0.0321549557649085
MWMdist_amygdalaR,swimdist_t1,pagerankcent_weight,0.318218623481781,0.0483505227829798
MWMdist_cingulate_25aL,swimdist_t2,clustercoeff_weight,-0.367813765182186,0.0212407667189864
MWMdist_cingulate_25aL,swimdist_t2,eigenvectorcent_weight,-0.369433198380567,0.0206347352533893
MWMdist_cingulate_24apL,swimdist_t6,betweencent_weight,0.319433198380567,0.0474534414050005
MWMdist_cingulate_24aR,swimdist_t6,clustercoeff_bin,-0.32995951417004,0.0402277414762732
MWMdist_cingulate_24aR,swimdist_t6,localeff_bin,-0.32995951417004,0.0402277414762732
MWMdist_cingulate_24aR,swimdist_t6,betweencent_bin,0.387449392712551,0.0148125696955254
MWMdist_cingulate_24bpR,swimdist_t5,strength_weight,0.418825910931174,0.00796132051812283
MWMdist_cingulate_24bpR,swimdist_t1,clustercoeff_weight,-0.326720647773279,0.0423487849091773
MWMdist_cingulate_24bpR,swimdist_t5,eigenvectorcent_weight,0.323481781376518,0.0445596190446686
MWMdist_cingulate_24bpR,swimdist_t5,pagerankcent_weight,0.342105263157895,0.0330293409208827
MWMdist_cingulate_24bR,swimdist_t1,degree_bin,0.355204565383914,0.0264866615459536
MWMdist_cingulate_24bR,swimdist_t2,localeff_weight,0.357811630601468,0.0253220707361877
MWMdist_cingulate_24bR,swimdist_t3,pagerankcent_weight,-0.364372469635628,0.0225780252757282
MWMdist_cingulate_25L,swimdist_t6,pagerankcent_bin,0.34251012145749,0.0328089366391695
MWMdist_cingulate_25R,swimdist_t6,eigenvectorcent_bin,0.37085020242915,0.0201163768322772
MWMdist_cingulate_29aL,swimdist_t3,strength_weight,0.333400809716599,0.0380696009107809
MWMdist_cingulate_29aL,swimdist_t3,eigenvectorcent_bin,0.358906882591093,0.024845651350534
MWMdist_cingulate_29aL,swimdist_t1,eigenvectorcent_weight,-0.33502024291498,0.0370871783830194
MWMdist_cingulate_29aL,swimdist_t3,eigenvectorcent_weight,0.418623481781377,0.007994761583624
MWMdist_cingulate_29aL,swimdist_t3,pagerankcent_bin,0.364372469635628,0.0225780252757282
MWMdist_cingulate_29aL,swimdist_t3,pagerankcent_weight,0.407085020242915,0.01011116971507
MWMdist_cingulate_29bL,swimdist_t3,pagerankcent_bin,0.326720647773279,0.0423487849091773
MWMdist_cingulate_29bR,swimdist_t6,localeff_weight,-0.316801619433198,0.0494143224161656
MWMdist_cingulate_29bR,swimdist_t6,betweencent_weight,0.393724696356275,0.0131422116831985
MWMdist_cingulate_29bR,swimdist_t6,eigenvectorcent_weight,-0.330769230769231,0.0397112043042944
MWMdist_cingulate_29cL,swimdist_t6,betweencent_weight,0.430769230769231,0.00618931521278596
MWMdist_cingulate_29cL,swimdist_t3,eigenvectorcent_bin,0.368016194331984,0.0211642095973098
MWMdist_cingulate_29cL,swimdist_t3,pagerankcent_bin,0.451012145748988,0.00395649575143008
MWMdist_cingulate_29cR,swimdist_t6,clustercoeff_weight,-0.338461538461538,0.0350681656128662
MWMdist_cingulate_29cR,swimdist_t3,eigenvectorcent_bin,0.459716599190283,0.0032367625797701
MWMdist_cingulate_29cR,swimdist_t6,eigenvectorcent_weight,-0.351214574898785,0.0283546435428461
MWMdist_cingulate_29cR,swimdist_t3,pagerankcent_bin,0.50587044534413,0.00101854262853323
MWMdist_cingulate_30L,swimdist_t3,degree_bin,0.382543992035054,0.0162400643010045
MWMdist_cingulate_30L,swimdist_t3,strength_weight,0.32834008097166,0.0412772029103328
MWMdist_cingulate_30L,swimdist_t6,clustercoeff_bin,-0.352631578947368,0.0276791710088417
MWMdist_cingulate_30L,swimdist_t6,localeff_bin,-0.352631578947368,0.0276791710088417
MWMdist_cingulate_30L,swimdist_t6,betweencent_bin,0.319838056680162,0.0471574131618986
